,x,y
155,"I thought Simon was [MASK], but instead he was very poor.",rich
156,"I thought Simon was [MASK], but instead he was very confident.",shy
157,"I thought Johnny was [MASK], but instead he was very passive.",active
158,"I thought Charlie was [MASK], but instead he was very difficult.",easy
159,"I thought Edwin was [MASK], but instead he was very timid.",brave
160,"I thought Ed was [MASK], but instead he was very fearful.",courageous
161,"I thought Mark was [MASK], but instead he was very good.",evil
162,"I thought Fred was [MASK], but instead he was very hot.",cold
163,"I thought Chris was [MASK], but instead he was very responsible.",irresponsible
164,"I thought Kevin was [MASK], but instead he was very optimistic.",pessimistic
165,"I thought Frederick was [MASK], but instead he was very independent.",dependent
166,"I thought Chris was [MASK], but instead he was very little.",much
167,"I thought Ray was [MASK], but instead he was very small.",big
168,"I thought Benjamin was [MASK], but instead he was very amateur.",professional
169,"I thought Jonathan was [MASK], but instead he was very advance.",broken
170,"I thought Joseph was [MASK], but instead he was very passive.",active
171,"I thought Matt was [MASK], but instead he was very expensive.",cheap
172,"I thought Thomas was [MASK], but instead he was very humble.",proud
173,"I thought Scott was [MASK], but instead he was very familiar.",strange
174,"I thought John was [MASK], but instead he was very happy.",unhappy
175,"I thought Mark was [MASK], but instead he was very white.",black
176,"I thought Daniel was [MASK], but instead he was very buy.",sold
177,"I thought Greg was [MASK], but instead he was very thirsty.",hungry
178,"I thought Joe was [MASK], but instead he was very incomplete.",complete
179,"I thought Benjamin was [MASK], but instead he was very public.",private
180,"I thought Joseph was [MASK], but instead he was very comfortable.",uncomfortable
181,"I thought Nick was [MASK], but instead he was very invisible.",conspicuous
182,"I thought William was [MASK], but instead he was very short.",tall
183,"I thought Eric was [MASK], but instead he was very ugly.",beautiful
184,"I thought Tony was [MASK], but instead he was very positive.",negative
185,"I thought Greg was [MASK], but instead he was very brave.",cautious
186,"I thought James was [MASK], but instead he was very stupid.",smart
187,"I thought George was [MASK], but instead he was very unavailable.",available
188,"I thought Ian was [MASK], but instead he was very little.",much
189,"I thought Thomas was [MASK], but instead he was very ugly.",beautiful
190,"I thought George was [MASK], but instead he was very distant.",close
191,"I thought Howard was [MASK], but instead he was very weak.",strong
192,"I thought Andrew was [MASK], but instead he was very upstairs.",below
193,"I thought Dick was [MASK], but instead he was very cheap.",expensive
194,"I thought Alex was [MASK], but instead he was very ill.",well
195,"I thought Don was [MASK], but instead he was very careless.",careful
196,"I thought Joseph was [MASK], but instead he was very pessimistic.",optimistic
197,"I thought Joe was [MASK], but instead he was very happy.",unhappy
198,"I thought Tim was [MASK], but instead he was very break.",made
199,"I thought Carl was [MASK], but instead he was very small.",big
200,"I thought Colin was [MASK], but instead he was very easy.",difficult
201,"I thought Frank was [MASK], but instead he was very clean.",dirty
202,"I thought Christopher was [MASK], but instead he was very hide.",shown
203,"I thought Keith was [MASK], but instead he was very familiar.",strange
204,"I thought Ron was [MASK], but instead he was very liquid.",solid
205,"I thought Steven was [MASK], but instead he was very advance.",broken
206,"I thought Patrick was [MASK], but instead he was very clean.",dirty
207,"I thought Kevin was [MASK], but instead he was very good.",evil
208,"I thought Jay was [MASK], but instead he was very intelligent.",stupid
209,"I thought Daniel was [MASK], but instead he was very old.",young
210,"I thought Ed was [MASK], but instead he was very good.",bad
211,"I thought Samuel was [MASK], but instead he was very optimistic.",pessimistic
212,"I thought Hugh was [MASK], but instead he was very predictable.",unpredictable
213,"I thought Jack was [MASK], but instead he was very proud.",humble
214,"I thought Charles was [MASK], but instead he was very young.",old
215,"I thought Richard was [MASK], but instead he was very passive.",active
216,"I thought George was [MASK], but instead he was very fearless.",afraid
217,"I thought Dan was [MASK], but instead he was very offensive.",defensive
218,"I thought Sam was [MASK], but instead he was very tender.",tough
219,"I thought Nick was [MASK], but instead he was very cerebral.",emotional
220,"I thought Kevin was [MASK], but instead he was very valuable.",worthless
221,"I thought Dave was [MASK], but instead he was very strange.",familiar
222,"I thought Jonathan was [MASK], but instead he was very safe.",dangerous
223,"I thought Edward was [MASK], but instead he was very active.",quiet
224,"I thought Richard was [MASK], but instead he was very fearful.",courageous
225,"I thought Tim was [MASK], but instead he was very visible.",invisible
226,"I thought Scott was [MASK], but instead he was very small.",big
227,"I thought Jeff was [MASK], but instead he was very unhealthy.",healthy
228,"I thought Hugh was [MASK], but instead he was very short.",tall
229,"I thought Thomas was [MASK], but instead he was very hostile.",friendly
230,"I thought Jim was [MASK], but instead he was very soft.",hard
231,"I thought Bill was [MASK], but instead he was very thirsty.",hungry
232,"I thought Alan was [MASK], but instead he was very lost.",found
233,"I thought Bobby was [MASK], but instead he was very foolish.",wise
234,"I thought Bruce was [MASK], but instead he was very secure.",insecure
235,"I thought Greg was [MASK], but instead he was very clean.",dirty
236,"I thought Edward was [MASK], but instead he was very good.",ill
237,"I thought George was [MASK], but instead he was very common.",individual
238,"I thought Johnny was [MASK], but instead he was very ugly.",beautiful
239,"I thought Alfred was [MASK], but instead he was very active.",passive
240,"I thought Jason was [MASK], but instead he was very valuable.",worthless
241,"I thought Francis was [MASK], but instead he was very liquid.",solid
242,"I thought Donald was [MASK], but instead he was very rude.",polite
243,"I thought Howard was [MASK], but instead he was very old.",new
244,"I thought Simon was [MASK], but instead he was very dull.",bright
245,"I thought Dan was [MASK], but instead he was very easy.",difficult
246,"I thought Tom was [MASK], but instead he was very active.",passive
247,"I thought Eric was [MASK], but instead he was very poor.",rich
248,"I thought Charlie was [MASK], but instead he was very easy.",difficult
249,"I thought Philip was [MASK], but instead he was very familiar.",strange
250,"I thought Brian was [MASK], but instead he was very familiar.",strange
251,"I thought Stephen was [MASK], but instead he was very mild.",intense
252,"I thought Richard was [MASK], but instead he was very good.",evil
253,"I thought Johnny was [MASK], but instead he was very ugly.",beautiful
254,"I thought Ken was [MASK], but instead he was very tender.",tough
255,"I thought Edwin was [MASK], but instead he was very cheap.",expensive
256,"I thought George was [MASK], but instead he was very careless.",careful
257,"I thought Mike was [MASK], but instead he was very secure.",insecure
258,"I thought Bruce was [MASK], but instead he was very careless.",careful
259,"I thought Daniel was [MASK], but instead he was very complex.",simple
260,"I thought Sam was [MASK], but instead he was very dangerous.",safe
261,"I thought Jerry was [MASK], but instead he was very beautiful.",ugly
262,"I thought Simon was [MASK], but instead he was very stupid.",smart
263,"I thought Harold was [MASK], but instead he was very active.",quiet
264,"I thought Bill was [MASK], but instead he was very public.",private
265,"I thought Donald was [MASK], but instead he was very liberal.",conservative
266,"I thought Larry was [MASK], but instead he was very advance.",broken
267,"I thought Ken was [MASK], but instead he was very different.",similar
268,"I thought Gary was [MASK], but instead he was very old.",new
269,"I thought Edward was [MASK], but instead he was very young.",old
270,"I thought Roger was [MASK], but instead he was very imperfect.",perfect
271,"I thought James was [MASK], but instead he was very weak.",strong
272,"I thought Albert was [MASK], but instead he was very fearful.",courageous
273,"I thought Steven was [MASK], but instead he was very public.",private
274,"I thought Adam was [MASK], but instead he was very pessimistic.",optimistic
275,"I thought Patrick was [MASK], but instead he was very similar.",different
276,"I thought Colin was [MASK], but instead he was very progressive.",conservative
277,"I thought Scott was [MASK], but instead he was very unavailable.",available
278,"I thought Bill was [MASK], but instead he was very simple.",complex
279,"I thought Adam was [MASK], but instead he was very fearful.",courageous
280,"I thought Don was [MASK], but instead he was very humble.",proud
281,"I thought Anthony was [MASK], but instead he was very there.",here
282,"I thought Joe was [MASK], but instead he was very ineffective.",effective
283,"I thought Brian was [MASK], but instead he was very stable.",unstable
284,"I thought Adam was [MASK], but instead he was very little.",much
285,"I thought Ralph was [MASK], but instead he was very good.",bad
286,"I thought Ian was [MASK], but instead he was very dry.",sweet
287,"I thought Dave was [MASK], but instead he was very hopeless.",hopeful
288,"I thought Ron was [MASK], but instead he was very hide.",shown
289,"I thought Harry was [MASK], but instead he was very fearful.",courageous
290,"I thought Bob was [MASK], but instead he was very impatient.",patient
291,"I thought Dan was [MASK], but instead he was very known.",unknown
292,"I thought Johnny was [MASK], but instead he was very progressive.",conservative
293,"I thought Edwin was [MASK], but instead he was very strong.",weak
294,"I thought Fred was [MASK], but instead he was very comfortable.",uncomfortable
295,"I thought Roy was [MASK], but instead he was very break.",made
296,"I thought Al was [MASK], but instead he was very fearful.",courageous
297,"I thought Patrick was [MASK], but instead he was very fast.",slow
298,"I thought Alex was [MASK], but instead he was very active.",quiet
299,"I thought Larry was [MASK], but instead he was very weak.",strong
300,"I thought Bobby was hopeful, but instead he was very [MASK].",hopeless
301,"I thought Alexander was difficult, but instead he was very [MASK].",easy
302,"I thought Alexander was familiar, but instead he was very [MASK].",strange
303,"I thought Mark was smart, but instead he was very [MASK].",stupid
304,"I thought Benjamin was happy, but instead he was very [MASK].",unhappy
305,"I thought John was unknown, but instead he was very [MASK].",known
306,"I thought Henry was friendly, but instead he was very [MASK].",hostile
307,"I thought Mike was rich, but instead he was very [MASK].",poor
308,"I thought Andrew was bad, but instead he was very [MASK].",good
309,"I thought Carl was poor, but instead he was very [MASK].",rich
310,"I thought James was corrupt, but instead he was very [MASK].",straight
311,"I thought Joe was defensive, but instead he was very [MASK].",offensive
312,"I thought Bobby was perfect, but instead he was very [MASK].",imperfect
313,"I thought Harry was gone, but instead he was very [MASK].",come
314,"I thought Arthur was progressive, but instead he was very [MASK].",conservative
315,"I thought Albert was shy, but instead he was very [MASK].",confident
316,"I thought Francis was difficult, but instead he was very [MASK].",easy
317,"I thought Tony was stupid, but instead he was very [MASK].",intelligent
318,"I thought Albert was hopeful, but instead he was very [MASK].",hopeless
319,"I thought Paul was evil, but instead he was very [MASK].",good
320,"I thought Robert was positive, but instead he was very [MASK].",negative
321,"I thought Peter was late, but instead he was very [MASK].",early
322,"I thought Jimmy was impatient, but instead he was very [MASK].",patient
323,"I thought Edward was positive, but instead he was very [MASK].",negative
324,"I thought Harold was conspicuous, but instead he was very [MASK].",invisible
325,"I thought Robert was courageous, but instead he was very [MASK].",fearful
326,"I thought James was patient, but instead he was very [MASK].",impatient
327,"I thought Don was smart, but instead he was very [MASK].",stupid
328,"I thought Fred was conservative, but instead he was very [MASK].",progressive
329,"I thought John was healthy, but instead he was very [MASK].",unhealthy
330,"I thought Carl was optimistic, but instead he was very [MASK].",pessimistic
331,"I thought Albert was worthless, but instead he was very [MASK].",valuable
332,"I thought Albert was reliable, but instead he was very [MASK].",unreliable
333,"I thought Steven was powerless, but instead he was very [MASK].",powerful
334,"I thought Mark was positive, but instead he was very [MASK].",negative
335,"I thought Fred was active, but instead he was very [MASK].",passive
336,"I thought Frederick was nice, but instead he was very [MASK].",nasty
337,"I thought Richard was hot, but instead he was very [MASK].",cold
338,"I thought Simon was smart, but instead he was very [MASK].",stupid
339,"I thought Ron was similar, but instead he was very [MASK].",different
340,"I thought Matthew was healthy, but instead he was very [MASK].",unhealthy
341,"I thought Tim was professional, but instead he was very [MASK].",amateur
342,"I thought Jeff was warm, but instead he was very [MASK].",cool
343,"I thought Larry was positive, but instead he was very [MASK].",negative
344,"I thought George was uncomfortable, but instead he was very [MASK].",comfortable
345,"I thought Jim was available, but instead he was very [MASK].",unavailable
346,"I thought Brian was optimistic, but instead he was very [MASK].",pessimistic
347,"I thought Jonathan was unpredictable, but instead he was very [MASK].",predictable
348,"I thought Steven was afraid, but instead he was very [MASK].",fearless
349,"I thought Harry was new, but instead he was very [MASK].",old
350,"I thought Alexander was ill, but instead he was very [MASK].",good
351,"I thought Mark was hungry, but instead he was very [MASK].",thirsty
352,"I thought Lawrence was complex, but instead he was very [MASK].",simple
353,"I thought Richard was defensive, but instead he was very [MASK].",offensive
354,"I thought Jonathan was smart, but instead he was very [MASK].",stupid
355,"I thought Alexander was smart, but instead he was very [MASK].",stupid
356,"I thought Benjamin was emotional, but instead he was very [MASK].",intellectual
357,"I thought Chris was negative, but instead he was very [MASK].",positive
358,"I thought Bob was humble, but instead he was very [MASK].",proud
359,"I thought Martin was late, but instead he was very [MASK].",early
360,"I thought Christopher was nice, but instead he was very [MASK].",nasty
361,"I thought Patrick was useless, but instead he was very [MASK].",useful
362,"I thought Joseph was different, but instead he was very [MASK].",similar
363,"I thought Joseph was conservative, but instead he was very [MASK].",liberal
364,"I thought Samuel was powerless, but instead he was very [MASK].",powerful
365,"I thought Jonathan was emotional, but instead he was very [MASK].",cerebral
366,"I thought Albert was unstable, but instead he was very [MASK].",stable
367,"I thought Jerry was cold, but instead he was very [MASK].",hot
368,"I thought Scott was happy, but instead he was very [MASK].",unhappy
369,"I thought Charlie was unknown, but instead he was very [MASK].",known
370,"I thought Mike was useless, but instead he was very [MASK].",useful
371,"I thought Philip was positive, but instead he was very [MASK].",negative
372,"I thought Edwin was brave, but instead he was very [MASK].",timid
373,"I thought Ryan was hot, but instead he was very [MASK].",cold
374,"I thought Eric was dishonest, but instead he was very [MASK].",honest
375,"I thought Kenneth was solid, but instead he was very [MASK].",liquid
376,"I thought Matthew was strong, but instead he was very [MASK].",weak
377,"I thought John was difficult, but instead he was very [MASK].",easy
378,"I thought Larry was broken, but instead he was very [MASK].",advance
379,"I thought Steve was patient, but instead he was very [MASK].",impatient
380,"I thought Sam was careful, but instead he was very [MASK].",careless
381,"I thought Ryan was careful, but instead he was very [MASK].",careless
382,"I thought Chris was functional, but instead he was very [MASK].",organic
383,"I thought Chris was active, but instead he was very [MASK].",quiet
384,"I thought Michael was rude, but instead he was very [MASK].",polite
385,"I thought Dan was stupid, but instead he was very [MASK].",smart
386,"I thought Louis was conservative, but instead he was very [MASK].",progressive
387,"I thought Joe was brave, but instead he was very [MASK].",timid
388,"I thought Mike was complex, but instead he was very [MASK].",simple
389,"I thought Hugh was like, but instead he was very [MASK].",different
390,"I thought Mark was emotional, but instead he was very [MASK].",intellectual
391,"I thought Mike was small, but instead he was very [MASK].",large
392,"I thought Benjamin was visible, but instead he was very [MASK].",invisible
393,"I thought Steven was dependent, but instead he was very [MASK].",independent
394,"I thought Carl was expensive, but instead he was very [MASK].",cheap
395,"I thought Kevin was wrong, but instead he was very [MASK].",right
396,"I thought George was shy, but instead he was very [MASK].",confident
397,"I thought Edward was evil, but instead he was very [MASK].",good
398,"I thought Patrick was emotional, but instead he was very [MASK].",intellectual
399,"I thought Steven was worthless, but instead he was very [MASK].",valuable
400,"I thought Jim was courageous, but instead he was very [MASK].",fearful
401,"I thought John was evil, but instead he was very [MASK].",good
402,"I thought Andrew was much, but instead he was very [MASK].",little
403,"I thought Peter was available, but instead he was very [MASK].",unavailable
404,"I thought Hugh was optimistic, but instead he was very [MASK].",pessimistic
405,"I thought Louis was late, but instead he was very [MASK].",early
406,"I thought Simon was dishonest, but instead he was very [MASK].",honest
407,"I thought Jerry was made, but instead he was very [MASK].",break
408,"I thought Dave was evil, but instead he was very [MASK].",good
409,"I thought Dick was solid, but instead he was very [MASK].",liquid
410,"I thought Keith was rich, but instead he was very [MASK].",poor
411,"I thought Philip was healthy, but instead he was very [MASK].",unhealthy
412,"I thought Arthur was patient, but instead he was very [MASK].",impatient
413,"I thought James was conservative, but instead he was very [MASK].",progressive
414,"I thought Keith was dependent, but instead he was very [MASK].",independent
415,"I thought Dick was ugly, but instead he was very [MASK].",beautiful
416,"I thought Tony was smart, but instead he was very [MASK].",stupid
417,"I thought Alan was dangerous, but instead he was very [MASK].",safe
418,"I thought Brian was big, but instead he was very [MASK].",small
419,"I thought Billy was hungry, but instead he was very [MASK].",thirsty
420,"I thought Ralph was useless, but instead he was very [MASK].",useful
421,"I thought Stephen was white, but instead he was very [MASK].",black
422,"I thought Mike was functional, but instead he was very [MASK].",organic
423,"I thought Jimmy was specific, but instead he was very [MASK].",general
424,"I thought Christopher was dirty, but instead he was very [MASK].",clean
425,"I thought Jay was late, but instead he was very [MASK].",early
426,"I thought Larry was worthless, but instead he was very [MASK].",valuable
427,"I thought Fred was warm, but instead he was very [MASK].",cool
428,"I thought Charlie was positive, but instead he was very [MASK].",negative
429,"I thought Simon was dangerous, but instead he was very [MASK].",safe
430,"I thought Joseph was rude, but instead he was very [MASK].",polite
431,"I thought David was sweet, but instead he was very [MASK].",dry
432,"I thought Dick was intense, but instead he was very [MASK].",mild
433,"I thought Louis was dirty, but instead he was very [MASK].",clean
434,"I thought Al was evil, but instead he was very [MASK].",good
435,"I thought Albert was serious, but instead he was very [MASK].",playful
436,"I thought Jason was encouraging, but instead he was very [MASK].",discouraging
437,"I thought Brian was progressive, but instead he was very [MASK].",conservative
438,"I thought Billy was big, but instead he was very [MASK].",small
439,"I thought Kenneth was reliable, but instead he was very [MASK].",unreliable
440,"I thought Simon was courageous, but instead he was very [MASK].",fearful
441,"I thought George was optimistic, but instead he was very [MASK].",pessimistic
442,"I thought Walter was private, but instead he was very [MASK].",public
443,"I thought Carl was evil, but instead he was very [MASK].",good
444,"I thought Eric was cool, but instead he was very [MASK].",warm
445,"I thought Jay was unpredictable, but instead he was very [MASK].",predictable
446,"I thought Ryan was safe, but instead he was very [MASK].",dangerous
447,"I thought Adam was black, but instead he was very [MASK].",white
448,"I thought Benjamin was sick, but instead he was very [MASK].",well
449,"I thought Jack was weak, but instead he was very [MASK].",strong
450,"I thought Simon was positive, but instead he was very [MASK].",negative
451,"I thought Louis was perfect, but instead he was very [MASK].",imperfect
452,"I thought Chris was tall, but instead he was very [MASK].",short
453,"I thought Paul was perfect, but instead he was very [MASK].",imperfect
454,"I thought Sam was wise, but instead he was very [MASK].",foolish
455,"I thought Simon was rich, but instead he was very [MASK].",poor
456,"I thought Simon was shy, but instead he was very [MASK].",confident
457,"I thought Johnny was active, but instead he was very [MASK].",passive
458,"I thought Charlie was easy, but instead he was very [MASK].",difficult
459,"I thought Edwin was brave, but instead he was very [MASK].",timid
460,"I thought Ed was courageous, but instead he was very [MASK].",fearful
461,"I thought Mark was evil, but instead he was very [MASK].",good
462,"I thought Fred was cold, but instead he was very [MASK].",hot
463,"I thought Chris was irresponsible, but instead he was very [MASK].",responsible
464,"I thought Kevin was pessimistic, but instead he was very [MASK].",optimistic
465,"I thought Frederick was dependent, but instead he was very [MASK].",independent
466,"I thought Chris was much, but instead he was very [MASK].",little
467,"I thought Ray was big, but instead he was very [MASK].",small
468,"I thought Benjamin was professional, but instead he was very [MASK].",amateur
469,"I thought Jonathan was broken, but instead he was very [MASK].",advance
470,"I thought Joseph was active, but instead he was very [MASK].",passive
471,"I thought Matt was cheap, but instead he was very [MASK].",expensive
472,"I thought Thomas was proud, but instead he was very [MASK].",humble
473,"I thought Scott was strange, but instead he was very [MASK].",familiar
474,"I thought John was unhappy, but instead he was very [MASK].",happy
475,"I thought Mark was black, but instead he was very [MASK].",white
476,"I thought Daniel was sold, but instead he was very [MASK].",buy
477,"I thought Greg was hungry, but instead he was very [MASK].",thirsty
478,"I thought Joe was complete, but instead he was very [MASK].",incomplete
479,"I thought Benjamin was private, but instead he was very [MASK].",public
480,"I thought Joseph was uncomfortable, but instead he was very [MASK].",comfortable
